device_id,location_id,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp,latitude,longitude,volume_l
1,1,1,1,2,27.71591567993164,24.35944175720215,94536.0625,71329,1,1,126186,0.0,0.0,530.3009033203125
1,1,2,2,2,27.844959259033203,23.90420150756836,94514.4140625,13093,1,1,126186,0.0,0.0,530.3009033203125
1,1,3,3,2,27.892868041992188,24.079355239868164,94511.9609375,20565,1,1,126186,0.0,0.0,530.3009033203125
1,1,4,4,2,28.065404891967773,23.897737503051758,94543.6328125,14598,1,1,126186,0.0,0.0,530.3009033203125
1,1,5,5,2,28.125041961669922,23.39996910095215,94539.46875,16231,1,1,126186,0.0,0.0,530.3009033203125
1,1,6,6,2,27.8554744720459,24.008817672729492,94528.2421875,8634,1,1,126186,0.0,0.0,530.3009033203125
1,1,7,7,2,28.060775756835938,24.041250228881836,94527.2890625,10050,1,1,126186,0.0,0.0,530.3009033203125
1,1,1,1,3,28.055715560913086,24.056541442871094,94536.78125,74505,1,1,179187,0.0,0.0,530.8035278320312
1,1,2,2,3,28.193389892578125,23.550737380981445,94512.7265625,41939,1,1,179187,0.0,0.0,530.8035278320312
1,1,3,3,3,28.263687133789062,23.673051834106445,94510.4921875,74440,1,1,179187,0.0,0.0,530.8035278320312
1,1,4,4,3,28.550756454467773,23.336423873901367,94543.1875,47663,1,1,179187,0.0,0.0,530.8035278320312
1,1,5,5,3,28.5681095123291,22.878000259399414,94541.4921875,54237,1,1,179187,0.0,0.0,530.8035278320312
1,1,6,6,3,28.29220962524414,23.53739356994629,94528.6484375,8228,1,1,179187,0.0,0.0,530.8035278320312
1,1,7,7,3,28.449722290039062,23.58854103088379,94525.6015625,11615,1,1,179187,0.0,0.0,530.8035278320312
1,1,0,0,4,28.66031837463379,23.450572967529297,94542.2890625,86253,1,1,225922,0.0,0.0,529.2955932617188
1,1,1,1,4,28.606948852539062,23.78485679626465,94537.109375,81244,1,1,225922,0.0,0.0,529.2955932617188
1,1,2,2,4,28.811986923217773,23.24812126159668,94511.21875,43790,1,1,225922,0.0,0.0,529.2955932617188
1,1,3,3,4,28.813613891601562,23.434587478637695,94512.421875,76235,1,1,225922,0.0,0.0,529.2955932617188
1,1,4,4,4,28.980783462524414,23.142318725585938,94542.4453125,49287,1,1,225922,0.0,0.0,529.2955932617188
1,1,5,5,4,29.051000595092773,22.62998390197754,94543.578125,57104,1,1,225922,0.0,0.0,529.2955932617188
1,1,6,6,4,28.713714599609375,23.32673454284668,94526.2734375,135306,1,1,225922,0.0,0.0,529.2955932617188
1,1,7,7,4,28.927642822265625,23.342979431152344,94523.5078125,149926,1,1,225922,0.0,0.0,529.2955932617188
1,1,0,0,5,29.200977325439453,23.594449996948242,94540.015625,88397,1,1,279183,0.0,0.0,523.263671875
1,1,1,1,5,29.122949600219727,23.943307876586914,94538.75,83143,1,1,279183,0.0,0.0,523.263671875
1,1,2,2,5,29.3699893951416,23.366159439086914,94513.984375,44107,1,1,279183,0.0,0.0,523.263671875
1,1,3,3,5,29.343358993530273,23.578969955444336,94514.734375,76032,1,1,279183,0.0,0.0,523.263671875
1,1,4,4,5,29.513919830322266,23.221498489379883,94545.328125,50039,1,1,279183,0.0,0.0,523.263671875
1,1,5,5,5,29.611059188842773,22.690202713012695,94543.4609375,57722,1,1,279183,0.0,0.0,523.263671875
1,1,6,6,5,29.224090576171875,23.3784122467041,94528.25,2546471,1,1,279183,0.0,0.0,523.263671875
1,1,7,7,5,29.453868865966797,23.395992279052734,94525.203125,4099074,1,1,279183,0.0,0.0,523.263671875
1,1,0,0,6,29.26133155822754,22.913856506347656,94542.359375,89698,1,1,332195,0.0,0.0,522.7611083984375
1,1,1,1,6,29.279010772705078,23.2008113861084,94539.515625,69470,1,1,332195,0.0,0.0,522.7611083984375
1,1,2,2,6,29.465932846069336,22.581920623779297,94515.1328125,14219,1,1,332195,0.0,0.0,522.7611083984375
1,1,3,3,6,29.532556533813477,22.76619529724121,94516.3046875,21585,1,1,332195,0.0,0.0,522.7611083984375
1,1,4,4,6,29.752826690673828,22.441177368164062,94543.828125,16157,1,1,332195,0.0,0.0,522.7611083984375
1,1,5,5,6,29.755428314208984,21.954692840576172,94544.296875,17185,1,1,332195,0.0,0.0,522.7611083984375
1,1,6,6,6,29.414531707763672,22.645591735839844,94528.5859375,1966866,1,1,332195,0.0,0.0,522.7611083984375
1,1,7,7,6,29.545385360717773,22.72345733642578,94526.59375,3213809,1,1,332195,0.0,0.0,522.7611083984375
1,1,0,0,7,29.281448364257812,22.547935485839844,94542.5625,37514,1,1,385204,0.0,0.0,519.7451171875
1,1,1,1,7,29.28656005859375,22.6924991607666,94537.515625,65826,1,1,385204,0.0,0.0,519.7451171875
1,1,2,2,7,29.448261260986328,22.194820404052734,94515.484375,49032,1,1,385204,0.0,0.0,519.7451171875
1,1,3,3,7,29.524988174438477,22.2777099609375,94514.46875,73732,1,1,385204,0.0,0.0,519.7451171875
1,1,4,4,7,29.876052856445312,21.843114852905273,94543.6015625,67492,1,1,385204,0.0,0.0,519.7451171875
1,1,5,5,7,29.84006118774414,21.44419288635254,94543.8359375,65222,1,1,385204,0.0,0.0,519.7451171875
1,1,6,6,7,29.59481430053711,22.00884437561035,94531.0078125,52085,1,1,385204,0.0,0.0,519.7451171875
1,1,7,7,7,29.718252182006836,22.12755584716797,94527.1484375,74116,1,1,385204,0.0,0.0,519.7451171875
