device_id,location,volume_l,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,5,31.51,16.74,93960.86,51333,1,1,4372997
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,5,31.66,16.62,93989.31,61776,1,1,4373008
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,5,33.08,15.64,93963.44,77201,1,1,4373020
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,5,32.44,16.58,93982.54,104939,1,1,4373041
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,5,33.13,15.58,93989.06,109942,1,1,4373053
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,5,32.98,15.56,93973.69,139852,1,1,4373074
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,6,30.15,18.26,93943.35,104043,1,1,4380445
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,6,30.69,17.93,93964.05,72789,1,1,4380447
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,6,31.47,16.74,93959.14,41170,1,1,4380459
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,6,31.61,16.62,93989.16,44755,1,1,4380470
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,6,33.08,15.55,93963.21,68743,1,1,4380482
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,6,32.46,16.49,93981.27,76235,1,1,4380503
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,6,32.79,16.53,93987.11,78407,1,1,4380525
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,6,32.93,15.47,93975.58,82024,1,1,4380536
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,7,30.12,18.24,93941.85,94377,1,1,4387907
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,7,30.68,17.94,93965.24,64096,1,1,4387909
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,7,31.44,16.71,93963.47,38531,1,1,4387931
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,7,31.58,16.59,93987.62,40276,1,1,4387953
